"gene_id","GEL_AT_immature_top_leaf_R1","GEL_AU_immature_top_leaf_R2","GEL_AV_immature_top_leaf_R3","GEL_AW_mature_middle_leaf_R1","GEL_AX_mature_middle_leaf_R2","GEL_AY_mature_middle_leaf_R3","GEL_AZ_mature_bottom_leaf_R1","GEL_BA_mature_bottom_leaf_R2","GEL_BB_mature_bottom_leaf_R3","GEL_BC_immature_top_stem_R1","GEL_BD_immature_top_stem_R2","GEL_BE_immature_top_stem_R3","GEL_BI_primary_root_R1","GEL_BJ_primary_root_R2","GEL_BK_primary_root_R3","GEL_BL_secondary_root_R1","GEL_BM_secondary_root_R2","GEL_BN_secondary_root_R3"
"Gelse.v1.S203700.1",0,0,0,0,0,0,0,0,0,0,0,0,1.14864,0.102152,0.512378,0.599252,0.301058,1.17498
"Gelse.v1.S009910.1",35.1845,19.5629,34.6499,24.1271,28.5333,25.4782,26.9212,26.1198,21.8155,31.2999,31.4007,29.0172,24.6281,35.6634,30.4674,24.6433,28.9468,28.2839
"Gelse.v1.S225780.1",34.5148,15.2866,30.2651,23.2237,19.5671,17.8492,17.9192,15.967,16.5922,38.8419,44.1846,35.6358,33.9402,35.7016,32.9553,37.4717,33.2664,36.8923
"Gelse.v1.S114310.3",80.1506,103.076,82.9412,66.3185,60.759,61.1509,56.8631,41.7444,45.6689,82.334,74.4034,95.923,91.2176,69.9945,82.7462,98.9037,70.5143,85.2577
"Gelse.v1.S164100.1",0.548595,0,0.0642736,0.057034,0,0,0,0,0,0.688916,0.695043,0.811431,0.350964,0.334717,0.195714,0.126093,0,0
"Gelse.v1.S193510.1",0.0352021,0,0,0,0,0,0,0.0459636,0,0.0598097,0,0,0.015407,0.088444,0.0128345,0.196876,0.173183,0.164957
"Gelse.v1.S257400.2",1.588,0.579239,0.903839,0.917333,0.530617,0.527842,1.35396,0.349739,0.239821,3.86665,4.57371,0.840057,0.401627,0.22413,0.376436,1.03394,0.250883,1.03943
"Gelse.v1.S175750.1",11.9566,7.08201,16.5265,6.80617,6.36977,8.8999,6.9475,5.45166,4.71254,17.1269,17.5312,13.8702,13.1157,13.8951,8.81679,11.2979,14.6685,12.3166
"Gelse.v1.S244020.1",1.54035,5.3349,1.01031,2.67124,3.55721,3.70319,3.93105,3.48239,3.75059,1.03483,0.673813,1.33143,1.40179,1.73419,1.96243,1.25504,2.4296,1.68194
"Gelse.v1.S022250.1",0.310288,0.459474,0.806174,0.625245,0.668607,0.869307,0.256139,0.557071,1.23265,0.642189,0.916389,0.510864,0.28832,0.470519,0.522821,1.08407,0.254278,0.599394
"Gelse.v1.S090470.1",0,0,0,0,0,0,0,0,0,0,0,0,2.73092,2.86234,2.5724,7.82178,1.9848,4.20517
"Gelse.v1.S020480.1",4.73417,2.0406,3.4268,4.38525,4.40538,5.26487,6.4908,3.60798,4.76725,3.49312,4.05178,3.35619,3.22737,3.6523,0.88052,3.48067,4.33577,2.18532
